tokens,labels
date: 2020-01-29,O
remember,O
republic,O
##ans,O
",",O
the,O
demo,O
##cra,O
##ts,O
already,O
had,O
17,O
witness,O
##es,O
",",O
we,O
were,O
given,O
none,O
!,O
witness,O
##es,O
are,O
up,O
to,O
the,O
house,O
",",O
not,O
up,O
to,O
the,O
senate,O
.,O
don,O
’,O
t,O
let,O
the,O
dem,O
##s,O
play,O
you,O
!,O
,O
,O
date: 2019-07-12,O
thank,O
you,O
lar,O
##a,O
and,O
jess,O
##ie,O
jane,O
!,O
,O
,O
date: 2019-07-02,O
.,O
.,O
.,O
texas,O
will,O
defend,O
them,O
&,O
amp,O
",",O
indemnify,O
them,O
against,O
political,O
har,O
##ass,O
##ment,O
by,O
new,O
york,O
state,O
and,O
governor,O
cu,O
##omo,O
.,O
so,O
many,O
people,O
are,O
leaving,O
new,O
york,O
for,O
texas,O
and,O
florida,O
that,O
it,O
is,O
totally,O
under,O
sieg,O
##e,O
.,O
first,O
new,O
york,O
taxes,O
you,O
too,O
high,O
",",O
then,O
they,O
sue,O
you,O
",",O
just,O
to,O
complete,O
the,O
job,O
,O
,O
date: 2019-12-13,O
happy,O
birth,O
##day,O
!,O
#,O
guard,O
##38,O
##3,O
,O
,O
date: 2020-04-20,O
i,O
will,O
be,O
having,O
a,O
white,O
house,O
press,O
conference,O
today,O
at,O
5,O
:,O
30,O
p,O
.,O
m,O
.,O
thank,O
you,O
!,O
,O
,O
date: 2020-09-09,O
great,O
new,O
book,O
by,O
sarah,O
!,O
,O
,O
date: 2018-07-29,O
the,O
biggest,O
and,O
best,O
results,O
coming,O
out,O
of,O
the,O
good,O
gdp,O
report,O
was,O
that,O
the,O
quarterly,O
trade,O
deficit,O
has,O
been,O
reduced,O
by,O
$,O
52,O
billion,O
and,O
",",O
of,O
course,O
",",O
the,O
historically,O
low,O
unemployment,O
numbers,O
",",O
especially,O
for,O
african,O
americans,O
",",O
hispanic,O
##s,O
",",O
asian,O
##s,O
and,O
women,O
.,O
,O
,O
date: 2019-08-21,O
.,O
.,O
.,O
.,O
.,O
all,O
je,O
##ws,O
",",O
black,O
##s,O
",",O
ga,O
##ys,O
",",O
everyone,O
.,O
and,O
importantly,O
",",O
he,O
’,O
s,O
good,O
for,O
everyone,O
in,O
america,O
who,O
wants,O
a,O
job,O
.,O
”,O
wo,O
##w,O
!,O
@,O
news,O
##max,O
@,O
fox,O
##and,O
##frie,O
##nds,O
@,O
oa,O
##nn,O
,O
,O
date: 2017-08-27,O
historic,O
rain,O
##fall,O
in,O
houston,O
",",O
and,O
all,O
over,O
texas,O
.,O
floods,O
are,O
unprecedented,O
",",O
and,O
more,O
rain,O
coming,O
.,O
spirit,O
of,O
the,O
people,O
is,O
incredible,O
.,O
thanks,O
!,O
,O
,O
date: 2020-06-19,O
if,O
the,O
dem,O
##s,O
get,O
in,O
",",O
our,O
country,O
is,O
in,O
big,O
trouble,O
!,O
,O
,O
date: 2017-09-26,O
a,O
few,O
of,O
the,O
many,O
clip,O
##s,O
of,O
john,O
mcca,O
##in,O
talking,O
about,O
repeal,O
##ing,O
&,O
amp,O
",",O
replacing,O
o,O
',O
care,O
.,O
my,O
oh,O
my,O
has,O
he,O
changed,O
-,O
complete,O
turn,O
from,O
years,O
of,O
talk,O
!,O
,O
,O
date: 2020-04-12,O
the,O
big,O
oil,O
deal,O
with,O
opec,O
plus,O
is,O
done,O
.,O
this,O
will,O
save,O
hundreds,O
of,O
thousands,O
of,O
energy,O
jobs,O
in,O
the,O
united,O
states,O
.,O
i,O
would,O
like,O
to,O
thank,O
and,O
congr,O
##atu,O
##late,O
president,O
put,O
##in,O
of,O
russia,O
and,O
king,O
sal,O
##man,O
of,O
saudi,O
arabia,O
.,O
i,O
just,O
spoke,O
to,O
them,O
from,O
the,O
ova,O
##l,O
office,O
.,O
great,O
deal,O
for,O
all,O
!,O
,O
,O
date: 2020-02-09,O
drain,O
the,O
swa,O
##mp,O
!,O
,O
,O
date: 2020-09-22,O
the,O
demo,O
##cra,O
##ts,O
are,O
only,O
interested,O
in,O
bail,O
##ing,O
out,O
their,O
bad,O
##ly,O
managed,O
",",O
high,O
crime,O
",",O
blue,O
states,O
.,O
they,O
are,O
not,O
interested,O
in,O
our,O
workers,O
or,O
small,O
businesses,O
.,O
cra,O
##zy,O
nancy,O
will,O
only,O
do,O
stimulus,O
",",O
which,O
would,O
be,O
helpful,O
",",O
if,O
we,O
couple,O
it,O
with,O
bail,O
##out,O
money,O
.,O
republic,O
##an,O
states,O
are,O
great,O
!,O
!,O
!,O
,O
,O
date: 2020-09-20,O
jim,O
",",O
to,O
late,O
to,O
take,O
it,O
back,O
.,O
stay,O
with,O
the,O
truth,O
",",O
no,O
pand,O
##ering,O
!,O
,O
,O
date: 2020-05-24,O
you,O
are,O
right,O
!,O
,O
,O
date: 2019-03-29,O
this,O
has,O
been,O
an,O
incredible,O
couple,O
of,O
weeks,O
for,O
america,O
!,O
,O
,O
date: 2020-09-14,O
if,O
you,O
mur,O
##der,O
a,O
police,O
officer,O
",",O
you,O
should,O
receive,O
the,O
death,O
penalty,O
!,O
,O
,O
date: 2017-03-07,O
our,O
wonderful,O
new,O
healthcare,O
bill,O
is,O
now,O
out,O
for,O
review,O
and,O
negotiation,O
.,O
obama,O
##care,O
is,O
a,O
complete,O
and,O
total,O
disaster,O
-,O
is,O
imp,O
##lo,O
##ding,O
fast,O
!,O
,O
,O
date: 2017-10-19,O
workers,O
of,O
firm,O
involved,O
with,O
the,O
discr,O
##edit,O
##ed,O
and,O
fa,O
##ke,O
dos,O
##sie,O
##r,O
take,O
the,O
5th,O
.,O
who,O
paid,O
for,O
it,O
",",O
russia,O
",",O
the,O
fb,O
##i,O
or,O
the,O
dem,O
##s,O
(,O
or,O
all,O
),O
?,O
,O
,O
date: 2019-06-12,O
.,O
.,O
.,O
.,O
.,O
the,O
fa,O
##ke,O
(,O
corrupt,O
),O
news,O
media,O
said,O
they,O
had,O
a,O
leak,O
into,O
poll,O
##ing,O
done,O
by,O
my,O
campaign,O
which,O
",",O
by,O
the,O
way,O
and,O
despite,O
the,O
pho,O
##ny,O
and,O
never,O
ending,O
wit,O
##ch,O
hunt,O
",",O
are,O
the,O
best,O
numbers,O
we,O
have,O
ever,O
had,O
.,O
they,O
reported,O
fa,O
##ke,O
numbers,O
that,O
they,O
made,O
up,O
&,O
amp,O
",",O
don,O
’,O
t,O
even,O
exist,O
.,O
we,O
will,O
win,O
again,O
!,O
,O
,O
date: 2019-10-10,O
wo,O
##w,O
",",O
thank,O
you,O
minn,O
##eap,O
##olis,O
",",O
minnesota,O
—,O
on,O
my,O
way,O
!,O
#,O
ka,O
##g,O
##202,O
##0,O
,O
,O
date: 2019-11-22,O
"""",O
schi,O
##ff,O
',O
s,O
"""",O
"""",O
fact,O
"""",O
"""",O
witness,O
##es,O
!,O
,O
,O
date: 2017-01-09,O
rup,O
##ert,O
mur,O
##doc,O
##h,O
is,O
a,O
great,O
guy,O
who,O
likes,O
me,O
much,O
better,O
as,O
a,O
very,O
successful,O
candidate,O
than,O
he,O
ever,O
did,O
as,O
a,O
very,O
successful,O
developer,O
!,O
,O
,O
date: 2018-09-13,O
sen,O
##ator,O
deb,O
##bie,O
sta,O
##ben,O
##ow,O
and,O
the,O
demo,O
##cra,O
##ts,O
are,O
totally,O
against,O
approving,O
the,O
farm,O
bill,O
.,O
they,O
are,O
fighting,O
tooth,O
and,O
nail,O
to,O
not,O
allow,O
our,O
great,O
farmers,O
to,O
get,O
what,O
they,O
so,O
rich,O
##ly,O
deserve,O
.,O
work,O
requirements,O
are,O
imperative,O
and,O
the,O
dem,O
##s,O
are,O
a,O
no,O
.,O
not,O
good,O
!,O
,O
,O
date: 2018-07-07,O
big,O
decision,O
will,O
soon,O
be,O
made,O
on,O
our,O
next,O
justice,O
of,O
the,O
supreme,O
court,O
!,O
,O
,O
date: 2020-07-02,O
darr,O
##ell,O
always,O
has,O
had,O
my,O
full,O
support,O
and,O
complete,O
and,O
total,O
endorsement,O
.,O
we,O
need,O
him,O
bad,O
##ly,O
in,O
washington,O
!,O
,O
,O
date: 2018-11-25,O
so,O
great,O
that,O
oil,O
prices,O
are,O
falling,O
(,O
thank,O
you,O
president,O
t,O
),O
.,O
add,O
that,O
",",O
which,O
is,O
like,O
a,O
big,O
tax,O
cut,O
",",O
to,O
our,O
other,O
good,O
economic,O
news,O
.,O
inflation,O
down,O
(,O
are,O
you,O
listening,O
fed,O
),O
!,O
,O
,O
date: 2018-12-21,O
today,O
",",O
it,O
was,O
my,O
honor,O
to,O
sign,O
into,O
law,O
h,O
.,O
r,O
.,O
72,O
##13,O
",",O
the,O
“,O
counter,O
##ing,O
weapons,O
of,O
mass,O
destruction,O
act,O
of,O
2018,O
.,O
”,O
the,O
act,O
redesign,O
##ates,O
the,O
@,O
