tokens,labels
date: 2019-05-11,O
so,O
now,O
the,O
radical,O
left,O
dem,O
##s,O
don,O
’,O
t,O
talk,O
about,O
coll,O
##usion,O
anymore,O
",",O
because,O
the,O
mueller,O
report,O
said,O
there,O
was,O
no,O
coll,O
##usion,O
",",O
they,O
only,O
want,O
to,O
talk,O
about,O
obstruct,O
##ion,O
",",O
even,O
though,O
there,O
was,O
no,O
obstruct,O
##ion,O
or,O
no,O
crime,O
-,O
except,O
for,O
the,O
crime,O
##s,O
committed,O
by,O
the,O
other,O
side,O
!,O
,O
,O
date: 2019-07-05,O
happy,O
birth,O
##day,O
to,O
our,O
great,O
united,LOC_B
states,LOC_I
@,O
secrets,ORG_B
##ervice,ORG_I
!,O
,O
,O
date: 2019-01-17,O
so,O
fun,O
##ny,O
to,O
watch,O
schu,PER_B
##mer,PER_I
grove,O
##ling,O
.,O
he,O
called,O
for,O
the,O
fir,O
##ing,O
of,O
bad,O
cop,O
james,PER_B
come,PER_I
##y,PER_I
many,O
times,O
-,O
until,O
i,O
fired,O
him,O
!,O
,O
,O
date: 2018-11-10,O
matthew,PER_B
g,PER_I
.,0
whit,PER_I
##ake,PER_I
##r,PER_I
is,O
a,O
highly,O
respected,O
former,O
u,O
.,O
s,O
.,O
attorney,O
from,O
iowa,LOC_B
.,O
he,O
was,O
chosen,O
by,O
jeff,PER_B
sessions,O
to,O
be,O
his,O
chief,ORG_B
of,ORG_I
staff,ORG_I
.,O
i,O
did,O
not,O
know,O
mr,PER_B
.,PER_I
whit,PER_I
##ake,PER_I
##r,PER_I
.,O
likewise,O
",",O
as,O
chief,O
",",O
i,O
did,O
not,O
know,O
mr,PER_B
.,PER_I
whit,PER_I
##ake,PER_I
##r,PER_I
except,O
primarily,O
as,O
he,O
travele,O
##d,O
with,O
a,O
.,O
g,O
.,O
sessions,O
.,O
no,O
social,O
contact,O
.,O
.,O
.,O
,O
,O
date: 2020-01-12,O
“,O
pel,PER_B
##osi,PER_I
has,O
made,O
a,O
moc,O
##ker,O
##y,O
of,O
impe,O
##ach,O
##ment,O
.,O
her,O
articles,O
are,O
so,O
weak,O
.,O
but,O
more,O
importantly,O
",",O
she,O
thought,O
she,O
could,O
ex,O
##tor,O
##t,O
the,O
senate,ORG_B
.,O
she,O
could,O
##n,O
’,O
t,O
.,O
”,O
@,O
gregg,PER_B
##ja,PER_I
##rre,PER_I
##tt,PER_I
@,O
fox,ORG_B
##and,O
##frie,O
##nds,O
the,O
do,O
nothing,O
demo,PER_B
##cra,PER_I
##ts,PER_I
are,O
really,O
run,O
by,O
the,O
radical,O
left,O
.,O
too,O
bad,O
!,O
,O
,O
date: 2020-03-22,O
will,O
be,O
having,O
a,O
news,O
conference,O
from,O
our,O
beaut,O
##if,O
##ul,O
white,O
house,O
at,O
5,O
:,O
00,O
p,O
.,O
m,O
.,O
many,O
things,O
to,O
discuss,O
.,O
thank,O
you,O
!,O
,O
,O
date: 2018-11-03,O
indiana,LOC_B
rally,O
",",O
and,O
coach,O
bob,PER_B
##by,PER_I
knight,PER_I
",",O
were,O
incredible,O
last,O
night,O
.,O
pack,O
##ed,O
house,O
in,O
honor,O
of,O
mike,PER_B
bra,PER_I
##un,PER_I
for,O
senate,ORG_B
.,O
mike,PER_B
will,O
be,O
a,O
great,O
sen,O
##ator,O
.,O
don,O
’,O
t,O
forget,O
to,O
vote,O
!,O
,O
,O
date: 2020-07-11,O
bring,O
back,O
steel,O
##e,O
!,O
!,O
!,O
,O
,O
date: 2020-02-12,O
.,O
@,O
wes,PER_B
##ley,PER_I
##hu,PER_I
##nt,PER_I
##tx,PER_I
is,O
running,O
for,O
congress,O
in,O
the,O
great,O
state,O
of,O
texas,LOC_B
.,O
he,O
will,O
help,O
us,O
accomplish,O
our,O
america,LOC_B
first,O
policies,O
.,O
wes,PER_B
##ley,PER_I
is,O
strong,O
on,O
crime,O
",",O
the,O
border,O
",",O
our,O
2nd,O
amendment,O
",",O
trade,O
",",O
military,O
and,O
vet,O
##s,O
.,O
wes,PER_B
##ley,PER_I
has,O
my,O
complete,O
and,O
total,O
endorsement,O
!,O
,O
,O
date: 2019-10-09,O
the,O
so,O
-,O
called,O
whistle,O
##blow,O
##er,O
",",O
before,O
knowing,O
i,O
was,O
going,O
to,O
release,O
the,O
exact,O
transcript,O
",",O
stated,O
that,O
my,O
call,O
with,O
the,O
uk,O
##rain,PER_B
##ian,PER_I
president,PER_I
was,O
“,O
cra,O
##zy,O
",",O
fri,O
##ght,O
##ening,O
",",O
and,O
completely,O
lack,O
##ing,O
in,O
substance,O
related,O
to,O
national,O
security,O
.,O
”,O
this,O
is,O
a,O
very,O
big,O
lie,O
.,O
read,O
the,O
transcript,O
!,O
,O
,O
date: 2020-09-24,O
up,O
big,O
in,O
south,LOC_B
carolina,LOC_I
!,O
,O
,O
date: 2018-10-15,O
open,O
enrollment,O
starts,O
today,O
on,O
lower,O
-,O
priced,O
medicare,O
advantage,O
plans,O
so,O
love,O
##d,O
by,O
our,O
great,O
seniors,O
.,O
cra,O
##zy,O
bern,PER_B
##ie,PER_I
and,O
his,O
band,O
of,O
congressional,O
dem,ORG_B
##s,ORG_I
will,O
out,O
##la,O
##w,O
these,O
plans,O
.,O
disaster,O
!,O
,O
,O
date: 2020-05-22,O
3,O
years,O
ago,O
",",O
after,O
jeff,PER_B
sessions,0
rec,O
##use,O
##d,O
him,O
##self,O
",",O
the,O
fraudulent,O
mueller,O
sca,O
##m,O
began,O
.,O
alabama,LOC_B
",",O
do,O
not,O
trust,O
jeff,LOC_B
sessions,O
.,O
he,O
let,O
our,O
country,LOC_B
down,O
.,O
that,O
’,O
s,O
why,O
i,O
endorsed,O
coach,O
tommy,PER_B
tube,PER_I
##rvi,PER_I
##lle,PER_I
(,O
@,O
tt,PER_B
##uber,PER_I
##ville,PER_I
),O
",",O
the,O
true,O
support,O
##er,O
of,O
our,O
#,O
mag,O
##a,O
agenda,O
!,O
,O
,O
date: 2020-10-07,O
all,O
russia,LOC_B
ho,O
##ax,O
scand,O
##al,O
information,O
was,O
decl,O
##assi,O
##fied,O
by,O
me,O
long,O
ago,O
.,O
unfortunately,O
for,O
our,O
country,O
",",O
people,O
have,O
acted,O
very,O
slowly,O
",",O
especially,O
since,O
it,O
is,O
perhaps,O
the,O
biggest,O
political,O
crime,O
in,O
the,O
history,O
of,O
our,O
country,LOC_B
.,O
act,O
!,O
!,O
!,O
,O
,O
date: 2018-11-25,O
clint,ORG_B
##on,ORG_I
foundation,ORG_I
donation,O
##s,O
drop,O
42,O
%,O
-,O
which,O
shows,O
that,O
they,O
illegal,O
##ly,O
played,O
the,O
power,O
game,O
.,O
they,O
monetize,O
##d,O
their,O
political,O
influence,O
through,O
the,O
foundation,ORG_B
.,O
“,O
during,O
her,O
tenure,O
the,O
state,O
department,O
was,O
put,O
in,O
the,O
service,O
of,O
the,O
clint,ORG_B
##on,ORG_I
foundation,ORG_I
.,O
”,O
andrew,PER_B
mccarthy,PER_I
,O
,O
date: 2020-10-12,O
november,O
3rd,O
.,O
will,O
be,O
the,O
most,O
exciting,O
day,O
in,O
u,O
.,O
s,O
.,O
election,O
history,O
",",O
even,O
more,O
so,O
than,O
2016,O
.,O
tremendous,O
excitement,O
and,O
enthusiasm,O
",",O
like,O
perhaps,O
never,O
seen,O
before,O
.,O
nobody,O
showing,O
up,O
to,O
sleep,O
##y,O
joe,PER_B
ral,O
##lie,O
##s,O
.,O
places,O
are,O
dead,O
.,O
stif,O
##f,O
!,O
!,O
!,O
see,O
you,O
in,O
florida,LOC_B
ton,O
##ight,O
.,O
,O
,O
date: 2020-10-27,O
death,O
rate,O
of,O
people,O
going,O
into,O
hospitals,O
is,O
much,O
lower,O
now,O
than,O
it,O
was,O
.,O
@,O
msn,ORG_B
##bc,ORG_I
wo,O
##w,O
",",O
msd,ORG_B
##nc,ORG_I
has,O
come,O
a,O
long,O
way,O
!,O
the,O
fact,O
is,O
that,O
we,O
have,O
learned,O
and,O
done,O
a,O
lot,O
about,O
this,O
virus,O
.,O
much,O
different,O
now,O
than,O
when,O
it,O
first,O
arrived,O
on,O
our,O
shore,O
##s,O
",",O
and,O
the,O
world,O
’,O
s,O
",",O
from,O
china,LOC_B
!,O
,O
,O
date: 2020-01-24,O
carlos,PER_B
will,O
win,O
big,O
",",O
very,O
exciting,O
.,O
great,O
for,O
florida,LOC_B
",",O
great,O
for,O
usa,LOC_B
!,O
he,O
has,O
my,O
complete,O
and,O
total,O
endorsement,O
!,O
,O
,O
date: 2020-09-10,O
fa,O
##ke,O
news,O
is,O
at,O
it,O
again,O
!,O
they,O
will,O
take,O
any,O
statement,O
from,O
me,O
",",O
no,O
matter,O
how,O
proper,O
or,O
well,O
delivered,O
",",O
&,O
amp,O
;,O
systematically,O
",",O
in,O
complete,O
conjunction,O
with,O
all,O
of,O
their,O
all,O
##ies,O
",",O
disma,O
##ntl,O
##e,O
it,O
.,O
with,O
bid,PER_B
##en,PER_I
",",O
they,O
only,O
give,O
him,O
soft,O
##ball,O
##s,O
",",O
and,O
let,O
him,O
read,O
the,O
answers,O
from,O
a,O
telep,O
##rom,O
##pte,O
##r,O
!,O
,O
,O
date: 2018-03-09,O
look,O
forward,O
to,O
being,O
in,O
pennsylvania,LOC_B
tomorrow,O
in,O
support,O
of,O
rick,PER_B
@,O
sac,PER_B
##con,PER_I
##e,PER_I
##4,PER_I
##pa,PER_I
##18,PER_I
.,O
big,O
crowd,O
expected,O
in,O
moo,O
##n,O
towns,O
##hip,O
.,O
vote,O
rick,PER_B
and,O
see,O
you,O
there,O
!,O
#,O
mag,O
##a,O
,O
,O
date: 2018-04-19,O
.,O
@,0
marsh,PER_B
##abl,PER_I
##ack,PER_I
##burn,PER_I
is,O
a,O
wonderful,O
wo,O
##man,O
who,O
has,O
always,O
been,O
there,O
when,O
we,O
have,O
needed,O
her,O
.,O
great,O
on,O
the,O
military,O
",",O
border,O
security,O
and,O
crime,O
.,O
love,O
##s,O
and,O
works,O
hard,O
for,O
the,O
people,O
of,O
tennessee,LOC_B
.,O
she,O
has,O
my,O
full,O
endorsement,O
and,O
i,O
will,O
be,O
there,O
to,O
campaign,O
with,O
her,O
!,O
,O
,O
date: 2020-03-14,O
biggest,O
stock,O
market,O
rise,O
in,O
history,O
yesterday,O
!,O
,O
,O
date: 2018-08-09,O
space,O
force,O
all,O
the,O
way,O
!,O
,O
,O
date: 2018-04-02,O
mexico,LOC_B
is,O
making,O
a,O
fortune,O
on,O
naf,O
##ta,O
.,O
.,O
.,O
they,O
have,O
very,O
strong,O
border,O
laws,O
-,O
ours,O
are,O
path,O
##etic,O
.,O
with,O
all,O
of,O
the,O
money,O
they,O
make,O
from,O
the,O
u,O
.,O
s,O
.,O
",",O
hopefully,O
they,O
will,O
stop,O
people,O
from,O
coming,O
through,O
their,O
country,O
and,O
into,O
ours,O
",",O
at,O
least,O
until,O
congress,ORG_B
changes,O
our,O
immigration,O
laws,O
!,O
,O
,O
date: 2018-10-03,O
mexico,LOC_B
",",O
canada,LOC_B
and,O
the,O
