tokens,labels
date: 2019-05-11,O
so,O
now,O
the,O
radical,O
left,O
dem,O
##s,O
don,O
’,O
t,O
talk,O
about,O
coll,O
##usion,O
anymore,O
",",O
because,O
the,O
mueller,O
report,O
said,O
there,O
was,O
no,O
coll,O
##usion,O
",",O
they,O
only,O
want,O
to,O
talk,O
about,O
obstruct,O
##ion,O
",",O
even,O
though,O
there,O
was,O
no,O
obstruct,O
##ion,O
or,O
no,O
crime,O
-,O
except,O
for,O
the,O
crime,O
##s,O
committed,O
by,O
the,O
other,O
side,O
!,O
,O
,O
date: 2019-07-05,O
happy,O
birth,O
##day,O
to,O
our,O
great,O
united,O
states,O
@,O
secrets,O
##ervice,O
!,O
,O
,O
date: 2019-01-17,O
so,O
fun,O
##ny,O
to,O
watch,O
schu,O
##mer,O
grove,O
##ling,O
.,O
he,O
called,O
for,O
the,O
fir,O
##ing,O
of,O
bad,O
cop,O
james,O
come,O
##y,O
many,O
times,O
-,O
until,O
i,O
fired,O
him,O
!,O
,O
,O
date: 2018-11-10,O
matthew,O
g,O
.,O
whit,O
##ake,O
##r,O
is,O
a,O
highly,O
respected,O
former,O
u,O
.,O
s,O
.,O
attorney,O
from,O
iowa,O
.,O
he,O
was,O
chosen,O
by,O
jeff,O
sessions,O
to,O
be,O
his,O
chief,O
of,O
staff,O
.,O
i,O
did,O
not,O
know,O
mr,O
.,O
whit,O
##ake,O
##r,O
.,O
likewise,O
",",O
as,O
chief,O
",",O
i,O
did,O
not,O
know,O
mr,O
.,O
whit,O
##ake,O
##r,O
except,O
primarily,O
as,O
he,O
travele,O
##d,O
with,O
a,O
.,O
g,O
.,O
sessions,O
.,O
no,O
social,O
contact,O
.,O
.,O
.,O
,O
,O
date: 2020-01-12,O
“,O
pel,O
##osi,O
has,O
made,O
a,O
moc,O
##ker,O
##y,O
of,O
impe,O
##ach,O
##ment,O
.,O
her,O
articles,O
are,O
so,O
weak,O
.,O
but,O
more,O
importantly,O
",",O
she,O
thought,O
she,O
could,O
ex,O
##tor,O
##t,O
the,O
senate,O
.,O
she,O
could,O
##n,O
’,O
t,O
.,O
”,O
@,O
gregg,O
##ja,O
##rre,O
##tt,O
@,O
fox,O
##and,O
##frie,O
##nds,O
the,O
do,O
nothing,O
demo,O
##cra,O
##ts,O
are,O
really,O
run,O
by,O
the,O
radical,O
left,O
.,O
too,O
bad,O
!,O
,O
,O
date: 2020-03-22,O
will,O
be,O
having,O
a,O
news,O
conference,O
from,O
our,O
beaut,O
##if,O
##ul,O
white,O
house,O
at,O
5,O
:,O
00,O
p,O
.,O
m,O
.,O
many,O
things,O
to,O
discuss,O
.,O
thank,O
you,O
!,O
,O
,O
date: 2018-11-03,O
indiana,O
rally,O
",",O
and,O
coach,O
bob,O
##by,O
knight,O
",",O
were,O
incredible,O
last,O
night,O
.,O
pack,O
##ed,O
house,O
in,O
honor,O
of,O
mike,O
bra,O
##un,O
for,O
senate,O
.,O
mike,O
will,O
be,O
a,O
great,O
sen,O
##ator,O
.,O
don,O
’,O
t,O
forget,O
to,O
vote,O
!,O
,O
,O
date: 2020-07-11,O
bring,O
back,O
steel,O
##e,O
!,O
!,O
!,O
,O
,O
date: 2020-02-12,O
.,O
@,O
wes,O
##ley,O
##hu,O
##nt,O
##tx,O
is,O
running,O
for,O
congress,O
in,O
the,O
great,O
state,O
of,O
texas,O
.,O
he,O
will,O
help,O
us,O
accomplish,O
our,O
america,O
first,O
policies,O
.,O
wes,O
##ley,O
is,O
strong,O
on,O
crime,O
",",O
the,O
border,O
",",O
our,O
2nd,O
amendment,O
",",O
trade,O
",",O
military,O
and,O
vet,O
##s,O
.,O
wes,O
##ley,O
has,O
my,O
complete,O
and,O
total,O
endorsement,O
!,O
,O
,O
date: 2019-10-09,O
the,O
so,O
-,O
called,O
whistle,O
##blow,O
##er,O
",",O
before,O
knowing,O
i,O
was,O
going,O
to,O
release,O
the,O
exact,O
transcript,O
",",O
stated,O
that,O
my,O
call,O
with,O
the,O
uk,O
##rain,O
##ian,O
president,O
was,O
“,O
cra,O
##zy,O
",",O
fri,O
##ght,O
##ening,O
",",O
and,O
completely,O
lack,O
##ing,O
in,O
substance,O
related,O
to,O
national,O
security,O
.,O
”,O
this,O
is,O
a,O
very,O
big,O
lie,O
.,O
read,O
the,O
transcript,O
!,O
,O
,O
date: 2020-09-24,O
up,O
big,O
in,O
south,O
carolina,O
!,O
,O
,O
date: 2018-10-15,O
open,O
enrollment,O
starts,O
today,O
on,O
lower,O
-,O
priced,O
medicare,O
advantage,O
plans,O
so,O
love,O
##d,O
by,O
our,O
great,O
seniors,O
.,O
cra,O
##zy,O
bern,O
##ie,O
and,O
his,O
band,O
of,O
congressional,O
dem,O
##s,O
will,O
out,O
##la,O
##w,O
these,O
plans,O
.,O
disaster,O
!,O
,O
,O
date: 2020-05-22,O
3,O
years,O
ago,O
",",O
after,O
jeff,O
sessions,O
rec,O
##use,O
##d,O
him,O
##self,O
",",O
the,O
fraudulent,O
mueller,O
sca,O
##m,O
began,O
.,O
alabama,O
",",O
do,O
not,O
trust,O
jeff,O
sessions,O
.,O
he,O
let,O
our,O
country,O
down,O
.,O
that,O
’,O
s,O
why,O
i,O
endorsed,O
coach,O
tommy,O
tube,O
##rvi,O
##lle,O
(,O
@,O
tt,O
##uber,O
##ville,O
),O
",",O
the,O
true,O
support,O
##er,O
of,O
our,O
#,O
mag,O
##a,O
agenda,O
!,O
,O
,O
date: 2020-10-07,O
all,O
russia,O
ho,O
##ax,O
scand,O
##al,O
information,O
was,O
decl,O
##assi,O
##fied,O
by,O
me,O
long,O
ago,O
.,O
unfortunately,O
for,O
our,O
country,O
",",O
people,O
have,O
acted,O
very,O
slowly,O
",",O
especially,O
since,O
it,O
is,O
perhaps,O
the,O
biggest,O
political,O
crime,O
in,O
the,O
history,O
of,O
our,O
country,O
.,O
act,O
!,O
!,O
!,O
,O
,O
date: 2018-11-25,O
clint,O
##on,O
foundation,O
donation,O
##s,O
drop,O
42,O
%,O
-,O
which,O
shows,O
that,O
they,O
illegal,O
##ly,O
played,O
the,O
power,O
game,O
.,O
they,O
monetize,O
##d,O
their,O
political,O
influence,O
through,O
the,O
foundation,O
.,O
“,O
during,O
her,O
tenure,O
the,O
state,O
department,O
was,O
put,O
in,O
the,O
service,O
of,O
the,O
clint,O
##on,O
foundation,O
.,O
”,O
andrew,O
mccarthy,O
,O
,O
date: 2020-10-12,O
november,O
3rd,O
.,O
will,O
be,O
the,O
most,O
exciting,O
day,O
in,O
u,O
.,O
s,O
.,O
election,O
history,O
",",O
even,O
more,O
so,O
than,O
2016,O
.,O
tremendous,O
excitement,O
and,O
enthusiasm,O
",",O
like,O
perhaps,O
never,O
seen,O
before,O
.,O
nobody,O
showing,O
up,O
to,O
sleep,O
##y,O
joe,O
ral,O
##lie,O
##s,O
.,O
places,O
are,O
dead,O
.,O
stif,O
##f,O
!,O
!,O
!,O
see,O
you,O
in,O
florida,O
ton,O
##ight,O
.,O
,O
,O
date: 2020-10-27,O
death,O
rate,O
of,O
people,O
going,O
into,O
hospitals,O
is,O
much,O
lower,O
now,O
than,O
it,O
was,O
.,O
@,O
msn,O
##bc,O
wo,O
##w,O
",",O
msd,O
##nc,O
has,O
come,O
a,O
long,O
way,O
!,O
the,O
fact,O
is,O
that,O
we,O
have,O
learned,O
and,O
done,O
a,O
lot,O
about,O
this,O
virus,O
.,O
much,O
different,O
now,O
than,O
when,O
it,O
first,O
arrived,O
on,O
our,O
shore,O
##s,O
",",O
and,O
the,O
world,O
’,O
s,O
",",O
from,O
china,O
!,O
,O
,O
date: 2020-01-24,O
carlos,O
will,O
win,O
big,O
",",O
very,O
exciting,O
.,O
great,O
for,O
florida,O
",",O
great,O
for,O
usa,O
!,O
he,O
has,O
my,O
complete,O
and,O
total,O
endorsement,O
!,O
,O
,O
date: 2020-09-10,O
fa,O
##ke,O
news,O
is,O
at,O
it,O
again,O
!,O
they,O
will,O
take,O
any,O
statement,O
from,O
me,O
",",O
no,O
matter,O
how,O
proper,O
or,O
well,O
delivered,O
",",O
&,O
amp,O
;,O
systematically,O
",",O
in,O
complete,O
conjunction,O
with,O
all,O
of,O
their,O
all,O
##ies,O
",",O
disma,O
##ntl,O
##e,O
it,O
.,O
with,O
bid,O
##en,O
",",O
they,O
only,O
give,O
him,O
soft,O
##ball,O
##s,O
",",O
and,O
let,O
him,O
read,O
the,O
answers,O
from,O
a,O
telep,O
##rom,O
##pte,O
##r,O
!,O
,O
,O
date: 2018-03-09,O
look,O
forward,O
to,O
being,O
in,O
pennsylvania,O
tomorrow,O
in,O
support,O
of,O
rick,O
@,O
sac,O
##con,O
##e,O
##4,O
##pa,O
##18,O
.,O
big,O
crowd,O
expected,O
in,O
moo,O
##n,O
towns,O
##hip,O
.,O
vote,O
rick,O
and,O
see,O
you,O
there,O
!,O
#,O
mag,O
##a,O
,O
,O
date: 2018-04-19,O
.,O
@,O
marsh,O
##abl,O
##ack,O
##burn,O
is,O
a,O
wonderful,O
wo,O
##man,O
who,O
has,O
always,O
been,O
there,O
when,O
we,O
have,O
needed,O
her,O
.,O
great,O
on,O
the,O
military,O
",",O
border,O
security,O
and,O
crime,O
.,O
love,O
##s,O
and,O
works,O
hard,O
for,O
the,O
people,O
of,O
tennessee,O
.,O
she,O
has,O
my,O
full,O
endorsement,O
and,O
i,O
will,O
be,O
there,O
to,O
campaign,O
with,O
her,O
!,O
,O
,O
date: 2020-03-14,O
biggest,O
stock,O
market,O
rise,O
in,O
history,O
yesterday,O
!,O
,O
,O
date: 2018-08-09,O
space,O
force,O
all,O
the,O
way,O
!,O
,O
,O
date: 2018-04-02,O
mexico,O
is,O
making,O
a,O
fortune,O
on,O
naf,O
##ta,O
.,O
.,O
.,O
they,O
have,O
very,O
strong,O
border,O
laws,O
-,O
ours,O
are,O
path,O
##etic,O
.,O
with,O
all,O
of,O
the,O
money,O
they,O
make,O
from,O
the,O
u,O
.,O
s,O
.,O
",",O
hopefully,O
they,O
will,O
stop,O
people,O
from,O
coming,O
through,O
their,O
country,O
and,O
into,O
ours,O
",",O
at,O
least,O
until,O
congress,O
changes,O
our,O
immigration,O
laws,O
!,O
,O
,O
date: 2018-10-03,O
mexico,O
",",O
canada,O
and,O
the,O
united,O
states,O
are,O
a,O
great,O
partnership,O
and,O
will,O
be,O
a,O
very,O
formidable,O
trading,O
force,O
.,O
we,O
will,O
now,O
",",O
because,O
of,O
the,O
us,O
##mc,O
##a,O
",",O
work,O
very,O
well,O
together,O
.,O
great,O
spirit,O
!,O
,O
,O
date: 2019-09-04,O
the,O
truth,O
is,O
that,O
we,O
have,O
a,O
nation,O
that,O
is,O
disg,O
##ust,O
##ed,O
with,O
the,O
fb,O
##i,O
.,O
we,O
have,O
a,O
crisis,O
of,O
confidence,O
in,O
the,O
number,O
one,O
law,O
enforcement,O
agency,O
in,O
this,O
country,O
(,O
thanks,O
come,O
##y,O
!,O
),O
.,O
@,O
lou,O
##do,O
##bb,O
##s,O
“,O
it,O
’,O
s,O
a,O
scand,O
##al,O
.,O
