Date,Sentence,Found Entities,Matched Companies,Matched Tickers,Sentiment
 2020-11-27,"g tech and the fa ##ke news media have partnered to suppress . freedom of the press is gone , a thing of the past . that ’ s why they refuse to report the real facts and figures of the 2020 election or even , where ’ s hunter ",[],[],[],
 2020-11-16,e rate of rejected mail - in ball ##ot ##s is 30 x ’ s lower in pennsylvania this year than it was in 2016 . this is why they kept our poll watche ##rs and observe ##rs out of the “ sac ##red ” vote counting rooms ,['pennsylvania'],[],[],
 2020-11-16,"orgia won ’ t let us look at the all important signature match . without that the reco ##unt is meaning ##less . open up uncon ##stitut ##ional consent decree , now ! @ brian ##ke ##mp ##g",['georgia'],[],[],
 2020-11-18," ##w ! governor kem ##p will hopefully see the light before it is too late . must finally take charge ! two great sen ##ators , who do so much for georgia and truly love the usa , are in a must win battle with two incom ##pet ##ents who don ’ t have a clu ##e ","['kem', 'georgia', 'usa']",[],[],
 2020-11-16,ropean countries are sad ##ly getting clo ##bb ##ered by the china virus . the fa ##ke news does not like reporting this ,['china'],[],[],
 2020-11-21,ump announces ground ##break ##ing rules to lower prescription drug prices via @ bre ##it ##bar ##tn ##ew ##,"['trump', 'bre']",[],[],
 2020-11-21,"is is true , but much different than reported by the media . we will show massive and unprecedented fraud ",[],[],[],
 2020-11-27,"d ##en can only enter the white house as president if he can prove that his rid ##icul ##ous “ 80 , 000 , 000 votes ” were not fraudulent ##ly or illegal ##ly obtained . when you see what happened in detroit , atlanta , philadelphia & amp ; milwaukee , massive vote ##r fraud , he ’ s got a big uns ##olv ##able problem ","['white', 'house', 'detroit', 'atlanta', 'philadelphia', 'amp', 'milwaukee']",[],[],
 2020-11-21,ssive vote ##r fraud will be shown ,[],[],[],
 2020-11-11,"e fa ##ke poll ##ster ##s at @ abc / @ washington ##post produced a possibly illegal suppressi ##on poll just before the election showing me down 17 points in wisconsin when , in fact , on election day , the race was even - & amp ; we are now preparing to win the state . many such “ dep ##lor ##able ” instances ","['fa', 'washington', 'wisconsin', 'amp', 'dep']",[],[],
 2020-11-21, son donald is doing very well . thank you ,['donald'],[],[],
 2020-10-25,"ank you maine ! # mag ##a   bid ##en did poorly in big cities ( polit ##ico ) , except those of detroit ( more votes than people ! ) , philadelphia , atlanta and milwaukee , which he had to win . not surprisingly , they are all located in the most important swing states , and are long known for being political ##ly corrupt ","['#', 'mag', '##a', '', '', 'detroit', 'philadelphia', 'atlanta', 'milwaukee']",[],[],
 2020-11-27,ank you rab ##bi ##s ,[],[],[],
 2020-10-25,"chard hop ##kins , pennsylvania postal worker , rec ##ants ball ##ot - tamp ##ering claim - washington times stays with the truth , his original story ","['richard', 'hop', 'pennsylvania', 'postal', 'washington', 'times']",[],[],
 2020-11-11,"guy named al schmidt , a philadelphia commissioner and so - called republic ##an ( rin ##o ) , is being used big time by the fa ##ke news media to explain how honest things were with respect to the election in philadelphia . he refuse ##s to look at a mountain of corruption & amp ; dish ##one ##sty . we win ","['al', 'schmidt', 'philadelphia', 'republic', 'rin', 'fa', 'media', 'philadelphia', 'dish']",[],[],
 2020-11-11,"ngratulations to arm ##enia ##n prime minist ##er nik ##ol pas ##hin ##yan and az ##erb ##ai ##jan ##i president il ##ham ali ##ye ##v , who just agreed to adhere to a cease fire effective at mid ##night . many lives will be save ##d . proud of my team @ sec ##po ##mpe ##o & amp ; steve bie ##gu ##n & amp ; @ wh ##ns ##c for getting the deal done ","['sec', 'steve', 'bie']",[],[],
 2020-10-25,agree ,[],[],[],
 2020-11-21,e restaurant business is being absolutely deci ##mate ##d . congress should step up and help . time is of the essence ,['congress'],[],[],
 2020-11-27,d ##y gi ##uli ##ani will be on greg kelly reports . 7 : 15 p . m . @ news ##ma,"['greg', 'kelly']",[],[],
 2020-11-28,eat people . vote for trump ,['trump'],[],[],
 2020-10-25,g vote ##r fraud information coming out concerning georgia . stay tune ##d ,['georgia'],[],[],
 2020-11-21,"d ##en dum ##ped new hampshire in the dem prima ##ries , left early . i had my first big victory there - do it again ","['new', 'hampshire']",[],[],
 2020-10-25,eck out @ past ##ord ##sco ##tt ’ s new show ton ##ight at 7 : 00 ##pm on @ real ##am ##voi ##ce . good luck darr ##ell ,[],[],[],
 2020-11-21,"e 1 , 126 , 940 votes were created out of thin air . i won pennsylvania by a lot , perhaps more than anyone will ever know . the pennsylvania votes were rig ##ged . all other swing states also . the world is watching ","['pennsylvania', 'pennsylvania']",[],[],
 2020-11-28, honor of maine ,['maine'],[],[],
 2020-10-25, much credit to all of the brav ##e men and women in state houses who are defending our great constitution . thank you ,[],[],[],
 2020-11-28,u are looking at ball ##ot ##s ! is this what our country has come to ,['ball'],['ball'],['BALL'],"[{'label': 'neutral', 'score': 0.9998683929443359}]"
 2020-11-11,an der ##sho ##witz : trump was ‘ absolutely right ‘ to par ##don michael fly ##nn via @ bre ##it ##bar ##tn ##ew ##,"['alan', 'der', 'trump', 'michael', 'fly', 'bre']",[],[],
 2020-11-28,burban women are strong for president trump . watch this @ 60m ##inu ##tes clip ,['trump'],[],[],
 2020-10-25, will win ,[],[],[],
 2020-11-11,"xas , pennsylvania , ohio , and others , please watch . his party , and joe , will stop frac ##king immediately . millions of jobs lost as energy prices soa ##r . vote trump ","['texas', 'pennsylvania', 'ohio', 'joe']",[],[],
 2020-10-25,"tch : hundreds of activis ##ts gather for ‘ stop the steal ‘ rally in georgia via bre ##it ##bar ##tn ##ew ##s big ral ##lie ##s all over the country . the proof pou ##ring in is unde ##nia ##ble . many more votes than needed . this was a lands ##lid ##e !   . @ fox ##new ##s day ##time is virtually unwa ##tch ##able , especially during the weekend ##s . watch @ oa ##nn , @ news ##max , or almost anything else . you won ’ t have to suffer through end ##less interview ##s with demo ##cra ##ts , and even worse ","['georgia', 'bre', '!', '', '', 'fox']",['fox'],['FOXA'],"[{'label': 'neutral', 'score': 0.8849779963493347}]"
 2020-11-21,"eryone is asking why the recent presidential poll ##s were so inaccurate when it came to me . because they are fa ##ke , just like much of the lam ##estr ##ea ##m media ",['lam'],[],[],
 2020-11-28,"am pleased to announce that i have given my full support and endorsement to ron ##na mcd ##ani ##el to continue heading the republic ##an national committee ( rn ##c ) . with 72 million votes , we received more votes than any sitting president in u . s . history - and we will win ","['ron', 'republic', 'u', '.', 's', '.']",[],[],
 2020-11-11,"president trump has done many great things ( biggest tax & amp ; regulation cuts in history , space force , rebuilding our military , fixing the v . a . , the wall ) , but perhaps the most important of all will be what he is doing now , exposing the massive corruption in our elect ##oral process . ","['trump', 'v']",[],[],
 2020-11-11,"e wisconsin reco ##unt is not about finding mistake ##s in the count , it is about finding people who have voted illegal ##ly , and that case will be brought after the reco ##unt is over , on monday or tuesday . we have found many illegal votes . stay tune ##d ",['wisconsin'],[],[],
 2020-11-21,"e bid ##en was a total disaster in handling the h1 ##n1 swin ##e flu , would never have produced a vaccine in record time ( years ahead of schedule ) , and would do a terribl ##e job of vaccine delivery - but does ##n ’ t everybody already know that ","['joe', 'bid']",[],[],
 2020-11-28,"ecific allegations were made , and we have massive proof , in the pennsylvania case . some people just don ’ t want to see it . they want nothing to do with saving our country . sad ! ! ",['pennsylvania'],[],[],
 2020-11-21,"e number of ball ##ot ##s that our campaign is challenging in the pennsylvania case is far larger than the 81 , 000 vote margin . it ’ s not even close . fraud and illegal ##ity are a big part of the case . documents being completed . we will appeal ",['pennsylvania'],[],[],
 2020-11-28,"body wants to report that pennsylvania and michigan did ##n ’ t allow our poll watche ##rs and / or vote observe ##rs to watch or observe . this is responsible for hundreds of thousands of votes that should not be allowed to count . therefore , i easily win both states . report the news ","['pennsylvania', 'michigan']",[],[],
 2020-11-28,"e fa ##ke news is not talking about the fact that “ cov ##id ” is running wild all over the world , not just in the u . s . i was at the virtual g - 20 meeting early this morning and the biggest subject was cov ##id . we will be heal ##ing fast , especially with our vaccines ","['u', '.', 's', '.']",[],[],
 2020-11-12,"eep ##y joe bid ##en had a very bad showing last night , despite the fact that @ gs ##tep ##han ##opo ##ulos did ##n ’ t ask him any questions on his being a “ corrupt polit ##icia ##n ” . big tech & amp ; lam ##estr ##ea ##m media are working hard to hid ##e this corruption ! ! ","['joe', 'gs', 'lam']",[],[],
 2020-11-21,"m ##ar is a pu ##ppe ##t for nancy pel ##osi and the radical left . he spe ##lls higher taxes , weak military and vet support , and the ob ##lite ##ration of your 2nd amendment . vote darr ##ell iss ##a ","['nancy', 'pel']",[],[],
