tokens,labels
date: 2020-11-27,O
report,O
:,O
bid,O
##en,O
’,O
s,O
thanksgiving,O
day,O
address,O
gets,O
just,O
1000,O
views,O
online,O
",",O
a,O
record,O
low,O
.,O
observe,O
##rs,O
say,O
a,O
candidate,O
with,O
“,O
80,O
",",O
000,O
",",O
000,O
”,O
votes,O
would,O
get,O
many,O
more,O
online,O
viewers,O
.,O
numbers,O
don,O
’,O
t,O
lie,O
",",O
or,O
add,O
up,O
!,O
@,O
oa,O
##nn,O
,O
,O
date: 2020-11-11,O
that,O
’,O
s,O
why,O
mike,O
was,O
number,O
one,O
in,O
his,O
class,O
at,O
west,O
point,O
!,O
,O
,O
date: 2020-11-11,O
thanks,O
dan,O
.,O
big,O
win,O
for,O
us,O
in,O
texas,O
!,O
,O
,O
date: 2020-11-20,O
news,O
conference,O
on,O
reduced,O
drug,O
prices,O
at,O
2,O
:,O
30,O
p,O
.,O
m,O
.,O
,O
,O
date: 2020-11-11,O
he,O
should,O
pay,O
a,O
big,O
price,O
for,O
his,O
sub,O
##versi,O
##on,O
!,O
,O
,O
date: 2020-11-19,O
“,O
statistical,O
sampling,O
to,O
prove,O
widespread,O
vote,O
##r,O
fraud,O
.,O
.,O
.,O
multiple,O
accounts,O
of,O
fraud,O
and,O
voting,O
irregular,O
##ities,O
may,O
overtur,O
##n,O
election,O
”,O
.,O
.,O
.,O
call,O
for,O
paper,O
ball,O
##ot,O
##s,O
.,O
@,O
rand,O
##pa,O
##ul,O
@,O
oa,O
##nn,O
,O
,O
date: 2020-10-24,O
our,O
economy,O
is,O
doing,O
great,O
",",O
and,O
is,O
ready,O
to,O
set,O
new,O
records,O
-,O
best,O
ever,O
(,O
again,O
!,O
),O
.,O
bid,O
##en,O
will,O
destroy,O
everything,O
with,O
his,O
massive,O
tax,O
increases,O
.,O
don,O
’,O
t,O
let,O
it,O
happen,O
!,O
!,O
!,O
,O
,O
date: 2020-11-11,O
a,O
brav,O
##e,O
patriot,O
.,O
more,O
&,O
amp,O
;,O
more,O
people,O
are,O
stepping,O
forward,O
to,O
expose,O
this,O
rig,O
##ged,O
election,O
!,O
,O
,O
date: 2020-10-24,O
#,O
vote,O
##ear,O
##ly,O
##day,O
#,O
[UNK],O
,O
,O
date: 2020-10-24,O
the,O
fa,O
##ke,O
news,O
is,O
talking,O
about,O
cases,O
",",O
cases,O
",",O
cases,O
.,O
this,O
includes,O
many,O
low,O
risk,O
people,O
.,O
media,O
is,O
doing,O
everything,O
possible,O
to,O
create,O
fear,O
prior,O
to,O
november,O
3rd,O
.,O
the,O
cases,O
are,O
up,O
because,O
testing,O
is,O
way,O
up,O
",",O
by,O
far,O
the,O
most,O
",",O
and,O
best,O
",",O
in,O
the,O
world,O
.,O
mortality,O
rate,O
is,O
down,O
85,O
%,O
plus,O
!,O
,O
,O
date: 2020-11-20,O
.,O
.,O
.,O
why,O
won,O
’,O
t,O
they,O
do,O
it,O
",",O
and,O
why,O
are,O
they,O
so,O
fast,O
to,O
certify,O
a,O
meaning,O
##less,O
tall,O
##y,O
?,O
,O
,O
date: 2020-11-20,O
the,O
governor,O
of,O
georgia,O
",",O
and,O
secretary,O
of,O
state,O
",",O
refuse,O
to,O
let,O
us,O
look,O
at,O
signature,O
##s,O
which,O
would,O
expose,O
hundreds,O
of,O
thousands,O
of,O
illegal,O
ball,O
##ot,O
##s,O
",",O
and,O
give,O
the,O
republic,O
##an,O
party,O
and,O
me,O
",",O
david,O
per,O
##due,O
",",O
and,O
perhaps,O
kelly,O
loe,O
##ffle,O
##r,O
",",O
a,O
big,O
victory,O
.,O
.,O
.,O
,O
,O
date: 2020-10-24,O
if,O
i,O
do,O
not,O
sound,O
like,O
a,O
typical,O
washington,O
polit,O
##icia,O
##n,O
",",O
it,O
’,O
s,O
because,O
i,O
’,O
m,O
not,O
a,O
polit,O
##icia,O
##n,O
.,O
if,O
i,O
do,O
not,O
always,O
play,O
by,O
the,O
rules,O
of,O
the,O
washington,O
establishment,O
",",O
it,O
’,O
s,O
because,O
i,O
was,O
elected,O
to,O
fight,O
for,O
you,O
",",O
harder,O
than,O
anyone,O
ever,O
has,O
before,O
!,O
,O
,O
date: 2020-10-24,O
.,O
.,O
.,O
i,O
could,O
not,O
sit,O
by,O
and,O
watch,O
them,O
take,O
advantage,O
of,O
you,O
anymore,O
.,O
they,O
are,O
coming,O
after,O
me,O
because,O
i,O
am,O
standing,O
in,O
their,O
way,O
",",O
and,O
standing,O
guard,O
for,O
this,O
country,O
we,O
love,O
!,O
,O
,O
date: 2020-10-24,O
.,O
.,O
.,O
for,O
years,O
",",O
i,O
watche,O
##d,O
one,O
bet,O
##ray,O
##al,O
after,O
another,O
",",O
as,O
polit,O
##icia,O
##ns,O
like,O
joe,O
bid,O
##en,O
sold,O
out,O
american,O
workers,O
at,O
every,O
turn,O
—,O
sha,O
##tter,O
##ing,O
the,O
lives,O
of,O
millions,O
of,O
american,O
families,O
while,O
their,O
families,O
rake,O
##d,O
in,O
millions,O
of,O
dollars,O
.,O
.,O
.,O
,O
,O
date: 2020-10-24,O
joe,O
bid,O
##en,O
is,O
a,O
corrupt,O
polit,O
##icia,O
##n,O
and,O
he,O
’,O
s,O
compromised,O
.,O
china,O
is,O
des,O
##perat,O
##e,O
for,O
bid,O
##en,O
to,O
win,O
because,O
if,O
bid,O
##en,O
wins,O
",",O
china,O
wins,O
–,O
and,O
china,O
will,O
own,O
america,O
.,O
this,O
corruption,O
is,O
exactly,O
why,O
i,O
decided,O
to,O
run,O
for,O
president,O
in,O
the,O
first,O
place,O
.,O
.,O
.,O
,O
,O
date: 2020-10-23,O
thank,O
you,O
to,O
all,O
of,O
the,O
great,O
american,O
patriot,O
##s,O
in,O
the,O
village,O
##s,O
",",O
florida,O
!,O
#,O
mag,O
##a,O
,O
,O
date: 2020-10-23,O
on,O
the,O
37,O
##th,O
anniversary,O
of,O
the,O
hor,O
##ren,O
##do,O
##us,O
attack,O
on,O
our,O
united,O
states,O
marine,O
##s,O
",",O
sail,O
##ors,O
",",O
and,O
sold,O
##ier,O
##s,O
in,O
be,O
##ir,O
##ut,O
",",O
we,O
honor,O
the,O
241,O
hero,O
##es,O
who,O
lost,O
their,O
lives,O
that,O
day,O
.,O
we,O
will,O
never,O
forget,O
them,O
.,O
sem,O
##per,O
fi,O
!,O
,O
,O
date: 2020-11-11,O
i,O
was,O
in,O
philadelphia,O
watching,O
fraud,O
happen,O
.,O
here,O
’,O
s,O
how,O
it,O
went,O
down,O
they,O
shut,O
out,O
our,O
poll,O
watche,O
##rs,O
and,O
observe,O
##rs,O
.,O
those,O
hundreds,O
of,O
thousands,O
of,O
votes,O
should,O
not,O
be,O
allowed,O
.,O
corrupt,O
polit,O
##ics,O
.,O
,O
,O
date: 2020-10-23,O
joe,O
bid,O
##en,O
’,O
s,O
response,O
to,O
the,O
h1,O
##n1,O
swin,O
##e,O
flu,O
",",O
far,O
less,O
let,O
##hal,O
than,O
cov,O
##id,O
19,O
",",O
was,O
one,O
of,O
the,O
weakest,O
and,O
worst,O
in,O
the,O
history,O
of,O
fighting,O
epidemic,O
##s,O
and,O
pandemic,O
##s,O
.,O
it,O
was,O
path,O
##etic,O
",",O
those,O
involved,O
have,O
said,O
.,O
joe,O
did,O
##n,O
’,O
t,O
have,O
a,O
clu,O
##e,O
!,O
,O
,O
date: 2020-11-18,O
the,O
georgia,O
reco,O
##unt,O
is,O
a,O
jo,O
##ke,O
and,O
is,O
being,O
done,O
under,O
protest,O
.,O
even,O
though,O
thousands,O
of,O
fraudulent,O
votes,O
have,O
been,O
found,O
",",O
the,O
real,O
number,O
is,O
in,O
matching,O
signature,O
##s,O
.,O
governor,O
must,O
open,O
up,O
the,O
uncon,O
##stitut,O
##ional,O
consent,O
decree,O
and,O
call,O
in,O
the,O
legislature,O
!,O
,O
,O
date: 2020-11-18,O
they,O
did,O
##n,O
’,O
t,O
even,O
allow,O
republic,O
##an,O
observe,O
##rs,O
into,O
the,O
building,O
to,O
watch,O
.,O
a,O
terribl,O
##e,O
ins,O
##ult,O
to,O
our,O
constitution,O
!,O
,O
,O
date: 2020-11-18,O
“,O
the,O
numbers,O
have,O
not,O
improved,O
",",O
it,O
is,O
still,O
71,O
%,O
out,O
of,O
balance,O
”,O
",",O
stated,O
wayne,O
county,O
",",O
michigan,O
",",O
can,O
##vas,O
##ser,O
##s,O
.,O
“,O
there,O
is,O
widespread,O
irregular,O
##ities,O
in,O
poll,O
numbers,O
.,O
”,O
there,O
are,O
“,O
more,O
votes,O
than,O
people,O
”,O
.,O
the,O
two,O
har,O
##asse,O
##d,O
patriot,O
can,O
##vas,O
##ser,O
##s,O
refuse,O
to,O
sign,O
the,O
papers,O
!,O
,O
,O
date: 2020-10-25,O
.,O
@,O
sean,O
##par,O
##nel,O
##lus,O
##a,O
is,O
a,O
bright,O
star,O
for,O
pennsylvania,O
.,O
military,O
",",O
vet,O
##s,O
",",O
low,O
taxes,O
and,O
your,O
2nd,O
amendment,O
will,O
be,O
totally,O
protected,O
.,O
his,O
opp,O
##onent,O
is,O
a,O
weak,O
and,O
ineffective,O
pu,O
##ppe,O
##t,O
for,O
pel,O
##osi,O
and,O
her,O
new,O
radical,O
left,O
friends,O
.,O
vote,O
for,O
sean,O
par,O
##nel,O
##l,O
!,O
,O
,O
date: 2020-11-11,O
obama,O
spi,O
##ed,O
on,O
our,O
campaign,O
-,O
and,O
got,O
caught,O
!,O
,O
,O
date: 2020-10-25,O
so,O
important,O
to,O
vote,O
for,O
republic,O
##ans,O
in,O
the,O
house,O
.,O
break,O
away,O
from,O
pel,O
##osi,O
and,O
her,O
high,O
taxing,O
new,O
radical,O
left,O
friends,O
.,O
protect,O
your,O
2nd,O
amendment,O
",",O
military,O
",",O
vet,O
##s,O
",",O
and,O
so,O
##oo,O
much,O
more,O
!,O
,O
,O
date: 2020-11-11,O
people,O
will,O
not,O
accept,O
this,O
rig,O
##ged,O
election,O
!,O
,O
,O
date: 2020-11-27,O
no,O
",",O
the,O
2020,O
election,O
was,O
a,O
total,O
sca,O
##m,O
",",O
we,O
won,O
by,O
a,O
lot,O
(,O
and,O
will,O
hopefully,O
turn,O
over,O
the,O
fraudulent,O
result,O
),O
",",O
but,O
we,O
must,O
get,O
out,O
and,O
help,O
david,O
and,O
kelly,O
",",O
two,O
great,O
people,O
.,O
otherwise,O
we,O
are,O
playing,O
right,O
into,O
the,O
hands,O
of,O
some,O
very,O
sick,O
people,O
.,O
i,O
will,O
be,O
in,O
georgia,O
on,O
saturday,O
!,O
,O
,O
date: 2020-10-25,O
pennsylvania,O
ball,O
##ot,O
“,O
mistake,O
##s,O
”,O
made,O
",",O
in,O
my,O
opinion,O
",",O
on,O
purpose,O
by,O
the,O
demo,O
##cra,O
##t,O
governor,O
",",O
puts,O
republic,O
##ans,O
",",O
in,O
particular,O
@,O
sean,O
##par,O
##nel,O
##lus,O
##a,O
",",O
at,O
great,O
risk,O
.,O
corrupt,O
polit,O
##ics,O
in,O
pennsylvania,O
must,O
be,O
investigated,O
immediately,O
.,O
by,O
the,O
way,O
",",O
philadelphia,O
is,O
out,O
of,O
control,O
.,O
@,O
the,O
##just,O
##iced,O
##ept,O
,O
,O
date: 2020-11-17,O
this,O
says,O
it,O
all,O
!,O
,O
,O
date: 2020-11-17,O
i,O
have,O
reversed,O
the,O
rid,O
##icul,O
##ous,O
decision,O
to,O
cancel,O
wre,O
##ath,O
##s,O
across,O
america,O
at,O
arl,O
##ington,O
national,O
cemetery,O
.,O
it,O
will,O
now,O
go,O
on,O
!,O
,O
,O
date: 2020-11-18,O
the,O
recent,O
statement,O
by,O
chris,O
kre,O
##bs,O
on,O
the,O
security,O
of,O
the,O
2020,O
election,O
was,O
highly,O
inaccurate,O
",",O
in,O
that,O
there,O
were,O
massive,O
impr,O
##opri,O
##eti,O
##es,O
and,O
fraud,O
-,O
including,O
dead,O
people,O
voting,O
",",O
poll,O
watche,O
##rs,O
not,O
allowed,O
into,O
poll,O
##ing,O
locations,O
",",O
“,O
gli,O
##tche,O
##s,O
”,O
in,O
the,O
voting,O
machines,O
which,O
changed,O
.,O
.,O
.,O
,O
,O
date: 2020-11-27,O
yesterday,O
’,O
s,O
news,O
conference,O
being,O
broadcast,O
in,O
full,O
now,O
on,O
@,O
news,O
##max,O
.,O
enjoy,O
!,O
,O
,O
date: 2020-10-25,O
have,O
a,O
great,O
“,O
mag,O
##a,O
-,O
gras,O
”,O
rally,O
today,O
on,O
our,O
wonderful,O
long,O
island,O
.,O
cut,O
taxes,O
",",O
stop,O
crime,O
",",O
vote,O
for,O
trump,O
.,O
our,O
city,O
and,O
state,O
are,O
a,O
mess,O
.,O
what,O
do,O
you,O
have,O
to,O
lose,O
?,O
thank,O
you,O
!,O
!,O
!,O
,O
,O
date: 2020-10-25,O
congratulations,O
to,O
@,O
sen,O
##ron,O
##jo,O
##hn,O
##son,O
